********************************************************************************
product = WebSphere Application Server 19.0.0.3 (wlp-1.0.26.cl190320190321-1636)
wlp.install.dir = /opt/ibm/wlp/
server.config.dir = /home/default/app/mc-target/liberty/wlp/usr/servers/defaultServer/
java.home = /home/default/java/jre
java.version = 1.8.0_221
java.runtime = Java(TM) SE Runtime Environment (8.0.5.40 - pxa6480sr5fp40-20190807_01(SR5 FP40))
os = Linux (4.9.184-linuxkit; amd64) (en_US)
process = 319@ae08c72be9da
********************************************************************************
[9/21/19 15:24:39:726 UTC] 00000033 com.ibm.ws.wsoc.EndpointManager                              I CWWKH0046I: Adding a WebSocket ServerEndpoint with the following URI: /javametrics-socket
[9/21/19 15:24:45:630 UTC] 0000004b com.ibm.ws.webcontainer.osgi.webapp.WebGroup                 I SRVE0169I: Loading Web Module: gameclient-1.0-SNAPSHOT.
[9/21/19 15:24:45:631 UTC] 0000004b com.ibm.ws.webcontainer                                      I SRVE0250I: Web Module gameclient-1.0-SNAPSHOT has been bound to default_host.
[9/21/19 15:24:45:632 UTC] 0000004b com.ibm.ws.http.internal.VirtualHostImpl                     A CWWKT0016I: Web application available (default_host): http://ae08c72be9da:9080/
[9/21/19 15:24:45:633 UTC] 0000004b com.ibm.ws.app.manager.AppMessageHelper                      A CWWKZ0001I: Application gameclient started in 8.208 seconds.
[9/21/19 15:24:45:677 UTC] 00000035 com.ibm.ws.webcontainer.osgi.mbeans.PluginGenerator          I SRVE9103I: A configuration file for a web server plugin was automatically generated for this server at /home/default/app/mc-target/liberty/wlp/usr/servers/defaultServer/logs/state/plugin-cfg.xml.
[9/21/19 15:24:46:051 UTC] 00000032 com.ibm.ws.kernel.feature.internal.FeatureManager            A CWWKF0015I: The server has the following interim fixes active in the runtime: PH06340. For a full listing of installed fixes run: productInfo version --ifixes
[9/21/19 15:24:46:054 UTC] 00000032 com.ibm.ws.kernel.feature.internal.FeatureManager            A CWWKF0012I: The server installed the following features: [appSecurity-2.0, distributedMap-1.0, el-3.0, jaxrs-2.0, jaxrsClient-2.0, jndi-1.0, json-1.0, jsonp-1.0, jsp-2.3, servlet-3.1, ssl-1.0, transportSecurity-1.0, websocket-1.1].
[9/21/19 15:24:46:056 UTC] 00000032 com.ibm.ws.kernel.feature.internal.FeatureManager            I CWWKF0008I: Feature update completed in 13.048 seconds.
[9/21/19 15:24:46:057 UTC] 00000032 com.ibm.ws.kernel.feature.internal.FeatureManager            A CWWKF0011I: The server defaultServer is ready to run a smarter planet.
[9/21/19 15:24:55:030 UTC] 00000037 com.ibm.ws.session.WASSessionCore                            I SESN0176I: A new session context will be created for application key default_host/
[9/21/19 15:24:55:033 UTC] 00000037 com.ibm.ws.util                                              I SESN0172I: The session manager is using the Java default SecureRandom implementation for session ID generation.
[9/21/19 15:24:59:865 UTC] 00000037 com.ibm.ws.wsoc.EndpointManager                              I CWWKH0046I: Adding a WebSocket ServerEndpoint with the following URI: /api/browser
[9/21/19 15:24:59:898 UTC] 00000037 SystemOut                                                    O [ci:868af4ef-3129-4428-b0a9-98f65ce1f291] Client instance started. 
[9/21/19 15:24:59:900 UTC] 00000037 SystemOut                                                    O [ci:868af4ef-3129-4428-b0a9-98f65ce1f291] Instance informed of start.
[9/21/19 15:25:00:649 UTC] 00000037 SystemOut                                                    O ***********************************************************************************************
[9/21/19 15:25:00:651 UTC] 00000037 SystemOut                                                    O *                                                                                             *
[9/21/19 15:25:00:653 UTC] 00000037 SystemOut                                                    O *    Agent has started. Watch at: http://localhost:9080/                                   *
[9/21/19 15:25:00:654 UTC] 00000037 SystemOut                                                    O *                                                                                             *
[9/21/19 15:25:00:656 UTC] 00000037 SystemOut                                                    O ***********************************************************************************************
[9/21/19 15:25:00:737 UTC] 00000051 com.ibm.ws.webcontainer.servlet                              I SRVE0242I: [gameclient] [/] [com.roguecloud.client.container.StartAgentServlet]: Initialization successful.
[9/21/19 15:25:01:010 UTC] 00000066 SystemOut                                                    O [client: d5a56965-970e-4d82-9c89-6c863e6f687e][inter] [Sep-21 15:25:00.984] Attempting to connect
[9/21/19 15:25:01:153 UTC] 00000066 SystemOut                                                    O [client: d5a56965-970e-4d82-9c89-6c863e6f687e][inter] [Sep-21 15:25:01.153] Websocket session h6ZvHu4K7tZXcyDFkX4dV52 opened with client instance 868af4ef-3129-4428-b0a9-98f65ce1f291
[9/21/19 15:25:02:692 UTC] 0000005a SystemOut                                                    O shouldIAttackCreature
[9/21/19 15:25:02:726 UTC] 0000005a SystemOut                                                    O whereShouldIGo
[9/21/19 15:25:02:727 UTC] 0000005a SystemOut                                                    O Going to (43, 352)
[9/21/19 15:25:03:007 UTC] 0000005a SystemOut                                                    O shouldIAttackCreature
[9/21/19 15:25:03:060 UTC] 00000037 SystemOut                                                    O shouldIAttackCreature
[9/21/19 15:25:03:102 UTC] 00000037 SystemOut                                                    O shouldIAttackCreature
[9/21/19 15:25:03:179 UTC] 00000037 SystemOut                                                    O shouldIAttackCreature
[9/21/19 15:25:03:246 UTC] 00000037 SystemOut                                                    O shouldIAttackCreature
[9/21/19 15:25:03:290 UTC] 00000037 SystemOut                                                    O shouldIAttackCreature
[9/21/19 15:25:03:338 UTC] 00000037 SystemOut                                                    O shouldIAttackCreature
[9/21/19 15:25:03:379 UTC] 00000037 SystemOut                                                    O shouldIAttackCreature
[9/21/19 15:25:03:487 UTC] 00000037 SystemOut                                                    O shouldIAttackCreature
